"Pete Fisher Unit, University of Leicester","-1.139759, 52.636878"
"University of Southampton","-1.396873, 50.936974"
"OSGeoLabUD, Universidad Distrital Francisco José de Caldas","-74.06564,4.62799"
"Geoinformatic Unit,  Universiti Sains Malaysia","100.484623, 5.263234"
"Spatial Analysis Research Group Department of Geography, Harokopio University of Athens","23.70755,37.96124"
"Department of Photogrammetry and Geoinformatics, Faculty of Civil Engineering, Budapest University of Technology and Economics","19.054717, 47.481911"
"University of Wisconsin, Cartography Lab","-89.4011849,43.075844"
"Birds Eye View GIS","-106.60893, 35.068353"
"Institute of Geography, Pavol Jozef Šafárik University","21.2460432, 48.7288883"
"ISRIC - World Soil Information foundation","5.665662,51.9875"
"Suresh Gyan Vihar University","26.8090° N, 75.8613° E"
"University of Geneva - Institute for Environmental Sciences","6.1487, 46.2253"
"Comunidad gvSIG Uruguay,"-56.203617", -34.905912"
"National College of Public Administration and Governance(NCPAG), University of the Philippines","121.059875, 14.656005"
"Geomatics and Virtual Reality Research Group, Siberian State University of Geosystems and Technologies","82.863503, 54.986816"
"CEPT University","72.566004,23.039568"
"Taras Shevchenko National University of Kyiv (TSNUK) OSGeo Research and Education Lab, Faculty of Geography, Department of Physical Geography and Geoecology","30.4752782, 50.3825971"
"North Carolina State University OSGeoREL","-78.6764, 35.7818"
"University of Girona","2.837305, 41.967426"
"IGN- France","2.352222, 48.856614"
"Laboratory for Cartography and GIS, University of Nebraska","41.2580265, -96.0116352"
"University of Colorado Denver, Department of Geography and Environmental Sciences","-105.0019444, 39.0122222"
"Interfaculty Department of Geoinformatics - Z_GIS, University of Salzburg","13.039586, 47.823711"
National Authority for Remote Sensing & Space Sciences,"30.0500, 31.2333"
Spatial-Ecology and GeoComputation at Yale,"-72.920816, 41.320066"
Institute of Geodesy and Cartography (IGiK),"21.013407, 52.178478"
Osaka City University(OCU),"135.507556, 34.593067"
University of Molise,"14.493651, 41.630815"
Spatial {Query} Lab at Texas A&M University - Corpus Christi,"-97.328799, 27.714506"
A World Bridge,"-74.438534, 41.451795"
Nodo IDE del Instituto de Geografía,"-34.6036844, -58.3815591"
"Geodesy and Geomatics Engineering, University of New Brunswick","-66.641474, 45.950252"
Bay College,"-87.163050, 45.773875"
Department of Geography,"59.534125,36.306903"
Universiti Teknologi Malaysia (UTM),"101.874222, 2.943748"
University of Warwick,"-1.56273, 52.380531"
"Geospatial Exploration Lab, Department of Geosciences, East Tennessee State University","-82.3700950, 36.3000590"
"University of Nottingham, Malaysia campus","101.721298, 3.172932"
Stuttgart University of Applied Sciences,"9.17370, 48.77996"
University Alba Regia Technical Faculty Institute of Geoinformatics OSGeo Lab,"18.418833, 47.188778"
Open Source Geospatial Laboratory at ETH Zurich,"8.5481, 47.3764"
National Technical University of Athens,"23.729310, 37.983716"
Center for Agricultural Networking and Information Sharing (CANIS),"36.816531,-1.279007"
"ETIS Lab ENSEA UCP CNRS UMR 8051 , University of Cergy Pontoise","2.085741, 49.043274"
"Center for Spatial Sciences, University of California, Davis","-121.766945, 38.548801"
University of Nottingham,"-1.250296, 52.831497"
FOSS4Geo Academy @ Del Mar College National Open Geospatial Technology Consortium,"-97.407096, 27.764053"
Haskell Indian Nations University,"-95.230691, 38.938859"
The University of Melbourne,"144.962006, -37.797932"
University of Mauritius,"add longitude, latitude"
"Geographic Information Science and Systems Research Group, Department of Geography and Environmental Studies, Ryerson University","-79.38097, 43.65910"
University of Heidelberg,"8.67024,49.41739"
"Landscape Architecture, Louisiana State University","-91.180909, 30.411775"
Programa de Gestión de Información y Gestión de Datos -IRPHa Universidad Nacional de San Juan,"-68.57, -31.54"
Indikatrix.org,"19.1172618 E, 47.4691018 N"
"Department of Global Studies, Warren Wilson College","-82.4420794, 35.6115585"
"Dipartimento di Ingegneria Civile Ambientale e Meccanica, University of Trento","11.139053, 46.064827"
Environmental Science for Social Change (ESSC),"121.062241, 14.64372"
"SMART Open Source Geospatial Laboratory, University of Wollongong","150.87889, -34.40596"
Kent State University,"-81.357886,41.153667"
"Center for Advanced Research on Spatial Information, Hunter College - CUNY","-73.964831, 40.768703"
"Hellenic digital earth Centre of Excellence, Aristotle University of Thessaloniki - AUTH","22.961498, 40.627516"
"DePaul University, Department of Geography","-87.6269709,41.8775909"
IREA-CNR,"9.23434,45.48046"
University of Gloucestershire,"-2.223409, 51.872215"
Regional Centre for  Mapping of Resources for Development (RCMRD),"36.858574, -1.249038"
Open Source Geospatial Lab Newcastle University,"-1.611536, 54.980656"
"The Spatial Lab, Dept of Geography & Environmental Studies Wilfrid Laurier University","-80.529557, 43.474073"
Ben Gurion University of the Negev (BGU),"34.78346, 30.85332"
Kathmandu University,"85.550000, 27.616667"
"National University of ""Kyiv-Mohyla Academy"", Ecology Faculty","30.515647, 50.456936"
"Center for Applied GIScience, University of North Carolina, Charlotte","-80.730000, 35.306944"
"GIS and Remote Sensing Unit, Fondazione Edmund Mach","11.133042,46.187865"
